Running tests/OverlayDraw.frag ...
Token(kind='OP', value='>=', pos=4186)
Token(kind='OP', value='||', pos=4195)
Token(kind='OP', value='||', pos=4195)
Token(kind=')', value=')', pos=4214)
Token(kind=')', value=')', pos=4214)
Token(kind='(', value='(', pos=4241)
Token(kind=')', value=')', pos=4243)
Token(kind=';', value=';', pos=4244)
Token(kind='[', value='[', pos=4280)
Token(kind=']', value=']', pos=4292)
Token(kind='OP', value='.', pos=4293)
Token(kind=';', value=';', pos=4299)
Token(kind='OP', value='.', pos=4355)
Token(kind='OP', value='?', pos=4371)
Token(kind='[', value='[', pos=4388)
Token(kind=']', value=']', pos=4400)
Token(kind='OP', value='.', pos=4401)
Token(kind='OP', value=':', pos=4422)
Token(kind='[', value='[', pos=4440)
Token(kind=']', value=']', pos=4452)
Token(kind='OP', value='.', pos=4453)
Token(kind=';', value=';', pos=4465)
Token(kind=';', value=';', pos=4465)
Token(kind='(', value='(', pos=4495)
Token(kind='(', value='(', pos=4501)
Token(kind='OP', value='.', pos=4514)
Token(kind=')', value=')', pos=4517)
Token(kind=')', value=')', pos=4518)
Token(kind=';', value=';', pos=4519)
Token(kind='OP', value='.', pos=4536)
Token(kind=')', value=')', pos=4545)
Token(kind='OP', value='.', pos=4627)
Token(kind='OP', value='=', pos=4630)
Token(kind='OP', value='.', pos=4638)
Token(kind='OP', value='.', pos=4651)
Token(kind='OP', value='-', pos=4654)
Token(kind='OP', value='-', pos=4658)
Token(kind='OP', value='-', pos=4658)
Token(kind='OP', value='.', pos=4670)
Token(kind=';', value=';', pos=4672)
Token(kind=';', value=';', pos=4672)
Token(kind=';', value=';', pos=4672)
Token(kind='OP', value='=', pos=4693)
Token(kind='OP', value='.', pos=4705)
Token(kind=';', value=';', pos=4708)
Token(kind=';', value=';', pos=4708)
Token(kind='OP', value='-', pos=4807)
Token(kind='OP', value='.', pos=4821)
Token(kind=';', value=';', pos=4824)
Token(kind=';', value=';', pos=4824)
Token(kind='(', value='(', pos=4888)
Token(kind='(', value='(', pos=4897)
Token(kind=',', value=',', pos=4911)
Token(kind='(', value='(', pos=4918)
Token(kind=')', value=')', pos=4920)
Token(kind=')', value=')', pos=4921)
Token(kind=')', value=')', pos=4921)
Token(kind=')', value=')', pos=4922)
Token(kind='OP', value='||', pos=4924)
Token(kind='(', value='(', pos=4938)
Token(kind='(', value='(', pos=4955)
Token(kind=',', value=',', pos=4969)
Token(kind='OP', value='.', pos=4983)
Token(kind='OP', value='-', pos=4987)
Token(kind='OP', value='.', pos=5001)
Token(kind=')', value=')', pos=5004)
Token(kind=')', value=')', pos=5004)
Token(kind=')', value=')', pos=5004)
Token(kind=')', value=')', pos=5005)
Token(kind=')', value=')', pos=5006)
Token(kind=')', value=')', pos=5006)
Token(kind='OP', value='=', pos=5028)
Token(kind='(', value='(', pos=5034)
Token(kind=',', value=',', pos=5036)
Token(kind=',', value=',', pos=5039)
Token(kind=',', value=',', pos=5039)
Token(kind=',', value=',', pos=5042)
Token(kind=',', value=',', pos=5042)
Token(kind=')', value=')', pos=5045)
Token(kind=')', value=')', pos=5045)
Token(kind=';', value=';', pos=5046)
Token(kind=';', value=';', pos=5046)
Token(kind='OP', value='.', pos=5085)
Token(kind=')', value=')', pos=5092)
Token(kind='OP', value='=', pos=5114)
Token(kind='(', value='(', pos=5126)
Token(kind=')', value=')', pos=5140)
Token(kind=';', value=';', pos=5141)
Token(kind=';', value=';', pos=5141)
Token(kind='OP', value='=', pos=5178)
Token(kind='(', value='(', pos=5191)
Token(kind=')', value=')', pos=5205)
Token(kind=';', value=';', pos=5206)
Token(kind=';', value=';', pos=5206)
uint getChar(const uvec2 coordInWidget, const uint fontGlyphWidth)
{
  const uint charIndex = (coordInWidget.x / fontGlyphWidth);
  const uint packIndex = (charIndex / 4);
  const uvec4 arrayItem = textWidgetsData[widgetIndex].text[(packIndex / 4)];
  const uint col = (packIndex % 4);
  uint packedChars;
  if ((col == 0))
  {
    (packedChars = arrayItem[0]);
  }
  else
    if ((col == 1))
    {
      (packedChars = arrayItem[1]);
    }
    else
      if ((col == 2))
      {
        (packedChars = arrayItem[2]);
      }
      else
      {
        (packedChars = arrayItem[3]);
      }
  const uint shift = ((charIndex % 4) * 8);
  return ((packedChars >> (24 - shift)) & 255);
}

float sampleFont(const uint textChar, const uvec2 coordInWidget, const uvec2 fontGlyphSize, const uint fontMip)
{
  const uvec2 coordInGlyph = (coordInWidget % fontGlyphSize);
  return texelFetch(((font , ivec3((coordInGlyph , textChar))) , int(fontMip))).x;
}

vec4 renderText(uvec2 coordInWidget)
{
  const uvec4 fontSizePacked = textWidgetsData[widgetIndex].fontSize;
  const uvec2 fontGlyphSize = fontSizePacked.xy;
  const uint fontMip = fontSizePacked.z;
  const uint textChar = getChar((coordInWidget , fontGlyphSize.x));
  if ((textChar >= FONT_CHARACTERS))
  {
    return vec4(0);
  }
  const float sampleValue = sampleFont((((textChar , coordInWidget) , fontGlyphSize) , fontMip));
  vec4 result = vec4((((0 , 0) , 0) , 0.4));
  (result = mix(((result , textWidgetsData[widgetIndex].color) , sampleValue)));
  return result;
}

uint getValue(const uvec2 coordInWidget, const uint valueWidth)
{
  const uint valueIndex = (coordInWidget.x / valueWidth.x);
  const uvec4 arrayItem = graphWidgetsData[widgetIndex].values[(valueIndex / 4)];
  const uint col = (valueIndex % 4);
  if ((col == 0))
  {
    return arrayItem[0];
  }
  else
    if ((col == 1))
    {
      return arrayItem[1];
    }
    else
      if ((col == 2))
      {
        return arrayItem[2];
      }
      else
      {
        return arrayItem[3];
      }
}

vec4 renderGraph(uvec2 coordInWidget)
{
  const uvec4 widgetCoords = graphWidgetsData[widgetIndex].coordinates;
  if (((((coordInWidget.x == 0) || (coordInWidget.y == 0)) || ((coordInWidget.x + 1) == (widgetCoords.z - widgetCoords.x))) || ((coordInWidget.y + 1) == (widgetCoords.w - widgetCoords.y))))
  {
    return vec4((((0 , 0) , 0) , 1));
  }
  const uint valueWidth = graphWidgetsData[widgetIndex].valueWidth.x;
  const uint value = getValue((coordInWidget , valueWidth));
  const uint widgetHeight = (widgetCoords.w - widgetCoords.y);
  bool indicateOverflow = (((value > widgetHeight) && ((coordInWidget.y + 4) >= widgetHeight)) && (((coordInWidget.x ^ coordInWidget.y) & 1) == 0));
  if ((((widgetHeight - coordInWidget.y) >= value) || indicateOverflow))
  {
    return vec4(0);
  }
  return graphWidgetsData[widgetIndex].color;
}

void main()
{
  const uvec4 widgetCoords = (params.isText ? textWidgetsData[widgetIndex].coordinates : graphWidgetsData[widgetIndex].coordinates);
  uvec2 fragCoords = uvec2(floor(gl_FragCoord.xy));
  if (params.rotateXY)
  {
    (fragCoords.x = ((params.viewportSize.x - 1) - fragCoords.x));
    (fragCoords = fragCoords.yx);
  }
  const uvec2 coordInWidget = (fragCoords - widgetCoords.xy);
  if ((any(lessThan((coordInWidget , uvec2(0)))) || any(greaterThanEqual((coordInWidget , (widgetCoords.zw - widgetCoords.xy))))))
  {
    (color = vec4((((1 , 0) , 1) , 1)));
    return;
  }
  if (params.isText)
  {
    (color = renderText(coordInWidget));
  }
  else
  {
    (color = renderGraph(coordInWidget));
  }
}


